id,x_m,y_m,lat,lon
1,38.584,68.027,40.4979162,116.9999211
2,38.584,76.666,40.4979938,116.9999211
3,54.837,68.172,40.4979175,117.0001131
4,54.837,76.799,40.4979950,117.0001131
5,56.810,76.822,40.4979952,117.0001364
6,56.894,68.194,40.4979177,117.0001374
7,36.527,68.016,40.4979161,116.9998968
8,36.451,76.643,40.4979936,116.9998959
9,54.837,83.078,40.4980514,117.0001131
10,54.837,61.181,40.4978547,117.0001131
11,38.584,61.181,40.4978547,116.9999211
12,38.584,83.078,40.4980514,116.9999211
13,77.422,52.799,40.4977794,117.0003799
14,66.714,52.732,40.4977788,117.0002534
15,79.090,53.522,40.4977859,117.0003996
16,69.203,68.795,40.4979231,117.0002828
17,79.750,53.578,40.4977864,117.0004074
18,81.079,55.170,40.4978007,117.0004231
19,82.137,58.654,40.4978320,117.0004356
20,82.518,62.472,40.4978663,117.0004401
21,82.637,65.434,40.4978929,117.0004415
22,81.917,71.111,40.4979439,117.0004330
23,80.512,73.805,40.4979681,117.0004164
24,79.073,74.673,40.4979759,117.0003994
25,79.141,76.677,40.4979939,117.0004002
26,72.081,76.833,40.4979953,117.0003168
27,69.109,73.838,40.4979684,117.0002817
28,66.680,50.884,40.4977622,117.0002530
29,77.397,50.751,40.4977610,117.0003796
30,79.107,52.810,40.4977795,117.0003998
31,65.114,52.721,40.4977787,117.0002345
32,65.012,68.773,40.4979229,117.0002333
33,70.938,25.971,40.4975384,117.0003033
34,70.938,35.132,40.4976207,117.0003033
35,75.568,25.971,40.4975384,117.0003580
36,75.568,35.132,40.4976207,117.0003580
37,70.938,22.709,40.4975091,117.0003033
38,75.568,22.709,40.4975091,117.0003580
39,75.568,38.439,40.4976504,117.0003580
40,70.938,38.439,40.4976504,117.0003033
41,83.509,35.132,40.4976207,117.0004518
42,83.509,25.971,40.4975384,117.0004518
43,64.250,25.971,40.4975384,117.0002243
44,64.250,35.132,40.4976207,117.0002243
45,44.450,27.251,40.4975499,116.9999904
46,44.450,32.617,40.4975981,116.9999904
47,48.615,27.485,40.4975520,117.0000396
48,47.599,32.661,40.4975985,117.0000276
49,48.615,27.318,40.4975505,117.0000396
50,50.080,33.051,40.4976020,117.0000569
51,50.283,27.540,40.4975525,117.0000593
52,47.591,32.962,40.4976012,117.0000275
53,44.450,33.051,40.4976020,116.9999904
54,44.450,26.772,40.4975456,116.9999904
55,42.004,26.772,40.4975456,116.9999615
56,42.004,33.051,40.4976020,116.9999615
57,73.833,18.991,40.4974757,117.0003375
58,71.243,13.692,40.4974281,117.0003069
59,71.276,19.002,40.4974758,117.0003073
60,73.816,13.681,40.4974280,117.0003373
61,73.833,19.581,40.4974810,117.0003375
62,73.833,13.781,40.4974289,117.0003375
63,76.787,13.781,40.4974289,117.0003724
64,76.787,19.581,40.4974810,117.0003724
65,71.276,19.603,40.4974812,117.0003073
66,71.243,13.191,40.4974236,117.0003069
67,68.737,13.214,40.4974238,117.0002773
68,68.779,19.614,40.4974813,117.0002778
69,57.114,13.525,40.4974266,117.0001400
70,57.114,19.225,40.4974778,117.0001400
71,60.348,19.347,40.4974789,117.0001782
72,60.949,13.882,40.4974298,117.0001853
73,60.949,13.681,40.4974280,117.0001853
74,56.733,13.514,40.4974265,117.0001355
75,60.340,19.637,40.4974815,117.0001781
76,62.735,19.648,40.4974816,117.0002064
77,62.769,13.893,40.4974299,117.0002068
78,57.114,19.726,40.4974823,117.0001400
79,57.114,13.514,40.4974265,117.0001400
80,54.719,13.514,40.4974265,117.0001117
81,54.719,19.726,40.4974823,117.0001117
82,47.659,18.913,40.4974750,117.0000283
83,42.241,15.696,40.4974461,116.9999643
84,47.650,15.540,40.4974447,117.0000282
85,47.684,18.913,40.4974750,117.0000286
86,42.309,18.858,40.4974745,116.9999651
87,48.319,15.518,40.4974445,117.0000361
88,48.234,13.013,40.4974220,117.0000351
89,41.767,13.214,40.4974238,116.9999587
90,41.852,15.707,40.4974462,116.9999597
91,47.659,21.251,40.4974960,117.0000283
92,41.852,18.858,40.4974745,116.9999597
93,41.852,21.251,40.4974960,116.9999597
94,19.851,13.047,40.4974223,116.9996998
95,19.859,9.952,40.4973945,116.9996999
96,11.487,9.907,40.4973941,116.9996010
97,11.462,13.002,40.4974219,116.9996007
98,20.884,27.975,40.4975564,116.9997120
99,20.841,19.715,40.4974822,116.9997115
100,17.921,19.726,40.4974823,116.9996770
101,17.963,27.986,40.4975565,116.9996775
102,13.121,28.576,40.4975618,116.9996203
103,13.121,20.294,40.4974874,116.9996203
104,10.192,20.294,40.4974874,116.9995857
105,10.192,28.576,40.4975618,116.9995857
106,21.078,38.049,40.4976469,116.9997143
107,21.095,32.416,40.4975963,116.9997145
108,6.781,32.372,40.4975959,116.9995454
109,6.755,38.004,40.4976465,116.9995451
110,64.428,56.795,40.4978153,117.0002264
111,64.437,51.162,40.4977647,117.0002265
112,42.808,51.096,40.4977641,116.9999710
113,42.783,56.728,40.4978147,116.9999707
114,21.832,53.500,40.4977857,116.9997232
115,17.210,53.456,40.4977853,116.9996686
116,17.210,50.483,40.4977586,116.9996686
117,21.832,50.483,40.4977586,116.9997232
118,23.660,58.064,40.4978267,116.9997448
119,23.694,53.511,40.4977858,116.9997452
120,13.214,53.422,40.4977850,116.9996214
121,13.180,57.975,40.4978259,116.9996210
122,20.486,71.545,40.4979478,116.9997073
123,14.094,70.332,40.4979369,116.9996318
124,20.503,70.243,40.4979361,116.9997075
125,20.384,75.486,40.4979832,116.9997061
126,21.645,75.508,40.4979834,116.9997210
127,21.722,71.567,40.4979480,116.9997219
128,20.384,75.430,40.4979827,116.9997061
129,13.976,75.274,40.4979813,116.9996304
130,21.637,70.231,40.4979360,116.9997209
131,21.569,64.788,40.4978871,116.9997201
132,13.062,64.899,40.4978881,116.9996196
133,13.138,70.354,40.4979371,116.9996205
134,64.868,89.245,40.4981068,117.0002316
135,58.630,44.372,40.4977037,117.0001579
136,29.620,44.227,40.4977024,116.9998152
137,30.229,89.067,40.4981052,116.9998224
138,89.620,89.367,40.4981079,117.0005240
139,89.620,44.984,40.4977092,117.0005240
140,90.078,0.156,40.4973065,117.0005294
141,30.534,0.156,40.4973065,116.9998260
142,0.000,0.000,40.4973051,116.9994653
143,0.161,44.684,40.4977065,116.9994672
144,0.152,88.310,40.4980984,116.9994671
